Column1,time,Room,Day,Class,Enrollment,Instructor,Str_Start,Str_End
62,11:00,2160,Thursday,N/A,0,N/A,N/A,N/A
63,11:30,2160,Thursday,N/A,0,N/A,N/A,N/A
64,12:00,2160,Thursday,N/A,0,N/A,N/A,N/A
65,12:30,2160,Thursday,N/A,0,N/A,N/A,N/A
66,13:00,2160,Thursday,N/A,0,N/A,N/A,N/A
67,13:30,2160,Thursday,N/A,0,N/A,N/A,N/A
68,14:00,2160,Thursday,N/A,0,N/A,N/A,N/A
69,14:30,2160,Thursday,N/A,0,N/A,N/A,N/A
70,15:00,2160,Thursday,N/A,0,N/A,N/A,N/A
71,15:30,2160,Thursday,N/A,0,N/A,N/A,N/A
72,16:00,2160,Thursday,N/A,0,N/A,N/A,N/A
73,16:30,2160,Thursday,N/A,0,N/A,N/A,N/A
74,17:00,2160,Thursday,NSSA( 241)-Intro.RoutingandSwitching,30,Lawrence Hill,17:00,18:50
75,17:30,2160,Thursday,NSSA( 241)-Intro.RoutingandSwitching,30,Lawrence Hill,17:00,18:50
76,18:00,2160,Thursday,NSSA( 241)-Intro.RoutingandSwitching,30,Lawrence Hill,17:00,18:50
77,18:30,2160,Thursday,NSSA( 241)-Intro.RoutingandSwitching,30,Lawrence Hill,17:00,18:50
78,19:00,2160,Thursday,N/A,0,N/A,N/A,N/A
79,19:30,2160,Thursday,N/A,0,N/A,N/A,N/A
80,20:00,2160,Thursday,N/A,0,N/A,N/A,N/A
81,20:30,2160,Thursday,N/A,0,N/A,N/A,N/A
82,21:00,2160,Thursday,N/A,0,N/A,N/A,N/A
83,21:30,2160,Thursday,,0,,N/A,N/A
0,8:00,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sharon Mason,8:00,9:50
1,8:30,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sharon Mason,8:00,9:50
2,9:00,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sharon Mason,8:00,9:50
3,9:30,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sharon Mason,8:00,9:50
4,10:00,2160,Friday,N/A,0,N/A,N/A,N/A
5,10:30,2160,Friday,N/A,0,N/A,N/A,N/A
6,11:00,2160,Friday,N/A,0,N/A,N/A,N/A
7,11:30,2160,Friday,N/A,0,N/A,N/A,N/A
8,12:00,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sylvia Perez-Hardy,12:00,13:50
9,12:30,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sylvia Perez-Hardy,12:00,13:50
10,13:00,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sylvia Perez-Hardy,12:00,13:50
11,13:30,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Sylvia Perez-Hardy,12:00,13:50
12,14:00,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Bruce Hartpence,14:00,15:50
13,14:30,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Bruce Hartpence,14:00,15:50
14,15:00,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Bruce Hartpence,14:00,15:50
15,15:30,2160,Friday,NSSA( 241)-Intro.RoutingandSwitching,30,Bruce Hartpence,14:00,15:50
16,16:00,2160,Friday,N/A,0,N/A,N/A,N/A
17,16:30,2160,Friday,N/A,0,N/A,N/A,N/A
18,17:00,2160,Friday,N/A,0,N/A,N/A,N/A
19,17:30,2160,Friday,N/A,0,N/A,N/A,N/A
20,18:00,2160,Friday,N/A,0,N/A,N/A,N/A
21,18:30,2160,Friday,N/A,0,N/A,N/A,N/A
22,19:00,2160,Friday,N/A,0,N/A,N/A,N/A
23,19:30,2160,Friday,N/A,0,N/A,N/A,N/A
24,20:00,2160,Friday,N/A,0,N/A,N/A,N/A
25,20:30,2160,Friday,N/A,0,N/A,N/A,N/A
26,21:00,2160,Friday,N/A,0,N/A,N/A,N/A
27,21:30,2160,Friday,,0,,N/A,N/A
168,8:00,2320,Monday,NSSA( 102)-Computer Systems Concepts,17,Lawrence Hill,8:00,9:50
169,8:30,2320,Monday,NSSA( 102)-Computer Systems Concepts,17,Lawrence Hill,8:00,9:50
170,9:00,2320,Monday,NSSA( 102)-Computer Systems Concepts,17,Lawrence Hill,8:00,9:50
171,9:30,2320,Monday,NSSA( 102)-Computer Systems Concepts,17,Lawrence Hill,8:00,9:50
172,10:00,2320,Monday,N/A,0,N/A,N/A,N/A
173,10:30,2320,Monday,N/A,0,N/A,N/A,N/A
174,11:00,2320,Monday,N/A,0,N/A,N/A,N/A
175,11:30,2320,Monday,N/A,0,N/A,N/A,N/A
176,12:00,2320,Monday,N/A,0,N/A,N/A,N/A
177,12:30,2320,Monday,N/A,0,N/A,N/A,N/A
178,13:00,2320,Monday,N/A,0,N/A,N/A,N/A
179,13:30,2320,Monday,N/A,0,N/A,N/A,N/A
180,14:00,2320,Monday,N/A,0,N/A,N/A,N/A
181,14:30,2320,Monday,N/A,0,N/A,N/A,N/A
182,15:00,2320,Monday,N/A,0,N/A,N/A,N/A
183,15:30,2320,Monday,N/A,0,N/A,N/A,N/A
184,16:00,2320,Monday,N/A,0,N/A,N/A,N/A
185,16:30,2320,Monday,N/A,0,N/A,N/A,N/A
186,17:00,2320,Monday,N/A,0,N/A,N/A,N/A
187,17:30,2320,Monday,N/A,0,N/A,N/A,N/A
188,18:00,2320,Monday,N/A,0,N/A,N/A,N/A
189,18:30,2320,Monday,N/A,0,N/A,N/A,N/A
190,19:00,2320,Monday,N/A,0,N/A,N/A,N/A
191,19:30,2320,Monday,N/A,0,N/A,N/A,N/A
192,20:00,2320,Monday,N/A,0,N/A,N/A,N/A
193,20:30,2320,Monday,N/A,0,N/A,N/A,N/A
194,21:00,2320,Monday,N/A,0,N/A,N/A,N/A
195,21:30,2320,Monday,,0,,N/A,N/A
224,8:00,2320,Tuesday,,0,,N/A,N/A
225,8:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
226,9:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
227,9:30,2320,Tuesday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
228,10:00,2320,Tuesday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
229,10:30,2320,Tuesday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
230,11:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
231,11:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
232,12:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
233,12:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
234,13:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
235,13:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
236,14:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
237,14:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
238,15:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
239,15:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
240,16:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
241,16:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
242,17:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
243,17:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
244,18:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
245,18:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
246,19:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
247,19:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
248,20:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
249,20:30,2320,Tuesday,N/A,0,N/A,N/A,N/A
250,21:00,2320,Tuesday,N/A,0,N/A,N/A,N/A
251,21:30,2320,Tuesday,,0,,N/A,N/A
252,8:00,2320,Wednesday,NSSA( 245)-Network Services,7,Sylvia Perez-Hardy,8:00,9:50
253,8:30,2320,Wednesday,NSSA( 245)-Network Services,7,Sylvia Perez-Hardy,8:00,9:50
254,9:00,2320,Wednesday,NSSA( 245)-Network Services,7,Sylvia Perez-Hardy,8:00,9:50
255,9:30,2320,Wednesday,NSSA( 245)-Network Services,7,Sylvia Perez-Hardy,8:00,9:50
256,10:00,2320,Wednesday,NSSA( 245)-Network Services,31,Jonathan Weissman,10:00,11:50
257,10:30,2320,Wednesday,NSSA( 245)-Network Services,31,Jonathan Weissman,10:00,11:50
258,11:00,2320,Wednesday,NSSA( 245)-Network Services,31,Jonathan Weissman,10:00,11:50
259,11:30,2320,Wednesday,NSSA( 245)-Network Services,31,Jonathan Weissman,10:00,11:50
260,12:00,2320,Wednesday,NSSA( 245)-Network Services,28,Mitel Kuliner,12:00,13:50
261,12:30,2320,Wednesday,NSSA( 245)-Network Services,28,Mitel Kuliner,12:00,13:50
262,13:00,2320,Wednesday,NSSA( 245)-Network Services,28,Mitel Kuliner,12:00,13:50
263,13:30,2320,Wednesday,NSSA( 245)-Network Services,28,Mitel Kuliner,12:00,13:50
264,14:00,2320,Wednesday,NSSA( 245)-Network Services,20,Sylvia Perez-Hardy,14:00,15:50
265,14:30,2320,Wednesday,NSSA( 245)-Network Services,20,Sylvia Perez-Hardy,14:00,15:50
266,15:00,2320,Wednesday,NSSA( 245)-Network Services,20,Sylvia Perez-Hardy,14:00,15:50
267,15:30,2320,Wednesday,NSSA( 245)-Network Services,20,Sylvia Perez-Hardy,14:00,15:50
268,16:00,2320,Wednesday,N/A,0,N/A,N/A,N/A
269,16:30,2320,Wednesday,N/A,0,N/A,N/A,N/A
270,17:00,2320,Wednesday,NSSA( 322)-Systems Administration II,16,Garret Arcoraci,17:00,18:50
271,17:30,2320,Wednesday,NSSA( 322)-Systems Administration II,16,Garret Arcoraci,17:00,18:50
272,18:00,2320,Wednesday,NSSA( 322)-Systems Administration II,16,Garret Arcoraci,17:00,18:50
273,18:30,2320,Wednesday,NSSA( 322)-Systems Administration II,16,Garret Arcoraci,17:00,18:50
274,19:00,2320,Wednesday,N/A,0,N/A,N/A,N/A
275,19:30,2320,Wednesday,N/A,0,N/A,N/A,N/A
276,20:00,2320,Wednesday,N/A,0,N/A,N/A,N/A
277,20:30,2320,Wednesday,N/A,0,N/A,N/A,N/A
278,21:00,2320,Wednesday,N/A,0,N/A,N/A,N/A
279,21:30,2320,Wednesday,,0,,N/A,N/A
196,8:00,2320,Thursday,,0,,N/A,N/A
197,8:30,2320,Thursday,N/A,0,N/A,N/A,N/A
198,9:00,2320,Thursday,N/A,0,N/A,N/A,N/A
199,9:30,2320,Thursday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
200,10:00,2320,Thursday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
201,10:30,2320,Thursday,NSSA( 244)-Virtualization,31,Garret Arcoraci,9:30,10:45
202,11:00,2320,Thursday,N/A,0,N/A,N/A,N/A
203,11:30,2320,Thursday,N/A,0,N/A,N/A,N/A
204,12:00,2320,Thursday,N/A,0,N/A,N/A,N/A
205,12:30,2320,Thursday,N/A,0,N/A,N/A,N/A
206,13:00,2320,Thursday,N/A,0,N/A,N/A,N/A
207,13:30,2320,Thursday,N/A,0,N/A,N/A,N/A
208,14:00,2320,Thursday,N/A,0,N/A,N/A,N/A
209,14:30,2320,Thursday,N/A,0,N/A,N/A,N/A
210,15:00,2320,Thursday,N/A,0,N/A,N/A,N/A
211,15:30,2320,Thursday,N/A,0,N/A,N/A,N/A
212,16:00,2320,Thursday,N/A,0,N/A,N/A,N/A
